"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G18180",0.000322164948453608,0,9,6.46731538548816e-09,0.00919442983308692,0.166666666666667,8.51331424974066e-06
"AT5G18190",0.0025057273768614,0,70,2.19106925535948e-07,0.0602944174002517,0.332091097308489,8.51331424974066e-06
"AT5G18200",0.00200458190148912,0,56,1.87730100179945e-07,0.043114818078587,0.314935064935065,8.51331424974066e-06
"AT5G18202",7.15922107674685e-05,0,2,3.83941646230109e-10,0.00342057966747502,0,8.51331424974066e-06
"AT5G18210",0.00286368843069874,0,80,2.85394501912464e-07,0.0616706154527384,0.357911392405063,8.51331424974066e-06
"AT5G18220",0.00139604810996564,0,39,5.10308000903467e-08,0.0352769111385867,0.433198380566802,8.51331424974066e-06
"AT5G18230",0.00232674684994273,0,65,4.66229830920012e-07,0.0506490247579881,0.341346153846154,8.51331424974066e-06
"AT5G18240",0.00132445589919817,0,37,6.44010132237585e-08,0.0317589780802812,0.423423423423423,8.51331424974066e-06
"AT5G18245",0.00132445589919817,0,37,6.44010132237585e-08,0.0317589780802812,0.423423423423423,8.51331424974066e-06
"AT5G18250",0.000322164948453608,0,9,5.7402592477595e-09,0.00563674638979591,0.333333333333333,8.51331424974066e-06
"AT5G18255",0.000357961053837342,0,10,9.40938714504096e-09,0.0107642188718535,0.355555555555556,8.51331424974066e-06
"AT5G18260",0.000823310423825888,0,23,6.40761119229468e-08,0.0183821760531143,0.33596837944664,8.51331424974066e-06
"AT5G18270",0.0457116265750286,1238,39,0.000179967795294351,0.158365654672477,0.0241672053436759,0.000609171940126495
"AT5G18280",0.00297107674684994,0,83,8.63544839921913e-07,0.0634048014954686,0.359388774610638,8.51331424974066e-06
"AT5G18290",0.00107388316151203,0,30,7.0193731280643e-08,0.0270302885037298,0.471264367816092,8.51331424974066e-06
"AT5G18300",0.000357961053837342,0,10,3.96843172096109e-09,0.00771863110652708,0.422222222222222,8.51331424974066e-06
"AT5G18310",0.00336483390607102,0,94,4.38567808956957e-07,0.0686890821918999,0.402882635552505,8.51331424974066e-06
"AT5G18320",0.000894902634593356,0,25,5.99252248587596e-08,0.0224836103720501,0.42,8.51331424974066e-06
"AT5G18330",0.000894902634593356,0,25,5.58560598390104e-08,0.0234238143430365,0.373333333333333,8.51331424974066e-06
"AT5G18340",0.000608533791523482,0,17,1.8694664638324e-08,0.014040041129777,0.367647058823529,8.51331424974066e-06
"AT5G18350",0.00411655211912944,0,115,9.10919080546187e-07,0.0831487239577573,0.321281464530892,8.51331424974066e-06
"AT5G18360",0.00143184421534937,0,40,8.10947163754737e-08,0.0384552863922482,0.407692307692308,8.51331424974066e-06
"AT5G18362",0.00150343642611684,0,42,9.85143951418441e-08,0.0311118527141743,0.322880371660859,8.51331424974066e-06
"AT5G18370",0.00178980526918671,0,50,1.80696643847632e-07,0.040328845209114,0.351836734693878,8.51331424974066e-06
"AT5G18380",0.000143184421534937,0,4,1.68129635404539e-09,0.00338607443188053,0.333333333333333,8.51331424974066e-06
"AT5G18390",0.000787514318442154,0,22,4.54477624812709e-08,0.018140970976535,0.303030303030303,8.51331424974066e-06
"AT5G18400",0.00157502863688431,0,44,6.12524698018306e-08,0.0407889962954488,0.52431289640592,8.51331424974066e-06
"AT5G18403",0.000393757159221077,0,11,1.26658766985476e-08,0.00927979715816702,0.4,8.51331424974066e-06
"AT5G18407",0.000214776632302405,0,6,4.12045313288712e-09,0.00411006611787675,0.266666666666667,8.51331424974066e-06
"AT5G18410",0.00368699885452463,0,103,9.06757791392308e-07,0.0782366829903343,0.321149819150961,8.51331424974066e-06
"AT5G18420",0.00182560137457045,0,51,4.13860382728668e-07,0.0413439945222651,0.354509803921569,8.51331424974066e-06
"AT5G18430",0.00218356242840779,0,61,2.09626573988042e-07,0.0443828651541019,0.330601092896175,8.51331424974066e-06
"AT5G18440",0.00157502863688431,0,44,5.10496784484258e-07,0.038538044494793,0.330866807610994,8.51331424974066e-06
"AT5G18450",0.0634306987399771,1714,58,0.000607273978368972,0.212716094502081,0.0261967142689937,0.00156302102978049
"AT5G18460",0.00236254295532646,0,66,4.21482714495771e-07,0.0515914739488292,0.393939393939394,8.51331424974066e-06
"AT5G18470",0.000966494845360825,0,27,6.14470161554865e-08,0.0264723272538912,0.356125356125356,8.51331424974066e-06
"AT5G18475",0.000214776632302405,0,6,6.10131136978969e-09,0.00572213271977516,0.4,8.51331424974066e-06
"AT5G18480",0.00093069873997709,0,26,4.59951148027623e-08,0.0250128356712781,0.483076923076923,8.51331424974066e-06
