GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT5G22300	3.1625673100847e-08	0.168776933518135	5.72074786695863e-06	0.00556438791732909	0.387218045112782	0.0480603646968893	0.0110685932524947	0.0295558011725851
AT5G22310	1.19577148636668e-05	0.216314941830573	3.42054772294351e-06	0.00457074721780604	0.441258094357077	0.0443441579511765	0.00946159634554563	0.0863880632664421
AT5G22320	0.00696506641203627	0.436641306349434	6.85473884719359e-08	0.000397456279809221	0.4	0.00198797813716897	0.00175757333739726	0.11546515351258
AT5G22330	0.00572193649562135	0	4.09151585028721e-07	0.000397456279809221	0.5	0.00540377765450329	0.00091033287286025	0.0509801620838992
AT5G22340	7.06688708716208e-07	0	1.22632991509624e-06	0.00208664546899841	0.367965367965368	0.0176523247322507	0.00427018695484116	0.00491427647616163
AT5G22350	0.000294242476860845	0	8.30711916345935e-07	0.00129173290937997	0.483516483516484	0.0144618973834721	0.00165804801438853	0.0736697008228026
AT5G22355	0.000195874160482354	0	3.71512048639432e-07	0.000993640699523052	0.436363636363636	0.0109128137047178	0.0013432296561447	0.0760672714674666
AT5G22360	0.000160494023263202	0.267390087824346	3.60516295937869e-07	0.000894276629570747	0.377777777777778	0.00806897130045836	0.00278555388644463	0.127803038238643
AT5G22370	0.00265118660203714	0	2.15449612244059e-07	0.000695548489666137	0.428571428571429	0.00646120269420325	0.00241918789014817	0.0485914001697699
AT5G22380	5.24615996025967e-07	0	5.5908456272288e-06	0.00467011128775835	0.395390070921986	0.0477269881858313	0.00937716389552474	0.0175443177034827
AT5G22390	3.32647544596472e-06	0	5.46151840209914e-06	0.00506756756756757	0.35972850678733	0.0467317380356791	0.0113329668876196	0.0267898675503304
AT5G22400	0.000327663858802717	0.275976385119389	3.93391920829337e-07	0.00149046104928458	0.475	0.0190392658490478	0.00158131150018103	0.109248030323395
AT5G22410	0.00383648253985411	0	4.62433019375899e-07	0.00129173290937997	0.483516483516484	0.0169912364084054	0.00166431212342704	0.00226800919093143
AT5G22420	0.0169471655571424	0	2.07737851729192e-07	0.00168918918918919	0.483660130718954	0.0202370002516704	0.00235284068681091	0.00185149409870868
AT5G22430	0.00221551011977706	0	9.68246647109912e-07	0.0019872813990461	0.5	0.0274496628064477	0.00315857033465106	0.0012452786680006
AT5G22440	0.000392687815881333	0	2.34051792242748e-08	0.000397456279809221	0.5	0.00446730701748967	0.000715617193018415	0.000825276185009795
AT5G22450	0.00330193630447257	0.385909482292296	4.12639448071312e-06	0.00278219395866455	0.32512315270936	0.0206686387947792	0.00945726029652727	0.142488840431469
AT5G22460	0.00604543808670004	0	7.44497022157791e-07	0.00208664546899841	0.510822510822511	0.0254066505713513	0.00269097543795867	0.00228632291758738
AT5G22470	0.00282110481285602	0	6.92785600777827e-07	0.00218600953895072	0.478260869565217	0.0261332059884025	0.00288706650112461	0.041743082943478
AT5G22480	0.0093111296616389	0	3.76893318007831e-07	0.000596184419713831	0.285714285714286	0.00562266993472058	0.00102834815618022	0.0664407130426192
AT5G22490	1.78654434848137e-06	0.348992983104755	1.48045495856969e-06	0.00278219395866455	0.435960591133005	0.0297528148397117	0.00528177974665863	0.00512260434723623
