"","x"
"AT1G04310",0.0521186870094821
"AT1G04330",4.16727525500064e-07
"AT1G04340",0.0905371349161588
"AT1G04350",1.29715337638936e-07
"AT1G04360",0.00105278813876235
"AT1G04370",1.3454926227015e-05
"AT1G04380",0.00310396460203811
"AT1G04390",0.202310018724714
"AT1G04400",0.000281296673808245
"AT1G04410",0.000103886810199945
"AT1G04420",0.00326185147761935
"AT1G04430",1.843482347757e-07
"AT1G04440",0.01653649777849
"AT1G04445",0.000365758092066871
"AT1G04450",0.719537902333647
"AT1G04470",0.134621297447424
"AT1G04480",1.0144184652881e-06
"AT1G04490",0.00674687733012253
"AT1G04500",0.178520271562334
"AT1G04510",0.0465920034860603
"AT1G04520",0.0329014397114858
"AT1G04530",0.0087787848744426
"AT1G04540",0.172505051377162
"AT1G04550",0.101620162541149
"AT1G04555",0.00256592272365247
"AT1G04560",0.146211024118023
"AT1G04570",9.97966928553667e-06
"AT1G04580",0.2108244336423
"AT1G04590",0.0541616130506996
"AT1G04600",0.0420642068254718
"AT1G04610",0.0185962442676361
"AT1G04620",0.0419728113413795
"AT1G04625",0.074245245794845
"AT1G04630",0.00275817102995935
"AT1G04635",0.100801732862388
"AT1G04640",0.229335443860206
"AT1G04645",0.309966557885211
"AT1G04650",0.00205565241690746
"AT1G04660",0.0164317649596827
"AT1G04670",0.0933136424776045
"AT1G04680",5.05754512646834e-05
"AT1G04690",0.000430033521306886
"AT1G04700",0.0323793920825162
"AT1G04710",9.99418968585014e-05
"AT1G04730",0.0617411754828721
"AT1G04750",0.0359230785307248
"AT1G04760",0.00762322163007242
"AT1G04770",0.00030673884311404
"AT1G04778",0.000418505636212877
"AT1G04780",0.187928006507626
"AT1G04790",0.0938388912910876
"AT1G04800",1.52308351990892e-05
"AT1G04810",0.02600988035253
"AT1G04820",0.043535162738654
"AT1G04830",0.0383304756221729
"AT1G04840",0.0117401718528639
"AT1G04850",0.00164141691596975
"AT1G04860",0.0533808701733615
"AT1G04870",0.00151843501772818
"AT1G04880",0.0326621337497524
"AT1G04890",0.769402378547094
"AT1G04900",0.458541463411458
"AT1G04910",0.140394124014956
"AT1G04920",8.27335523517781e-05
"AT1G04930",2.60458955806513e-08
"AT1G04945",0.42446758288607
"AT1G04940",2.75849515900715e-07
"AT1G04950",0.59834653193887
"AT1G04960",0.540460653770617
"AT1G04970",0.351289359444072
"AT1G04980",0.0381376486612316
"AT1G04985",0.00850763530691053
"AT1G04990",0.00297987466070495
"AT1G05000",3.76630890303727e-06
"AT1G05010",0.000281346686991627
"AT1G05020",0.000136801647198759
"AT1G05030",0.00342659194484934
"AT1G05040",0.00115235559651377
